title,type,tags
Curso a Distancia de Nutrición Deportiva,Curso,"[{""locale"":""es"",""name"":""Nutrición"",""principal"":true,""slug"":""nutricion-deportiva"",""uid"":""ts-t57cfb26556fbf""},{""locale"":""es"",""name"":""Suplementación"",""principal"":false,""slug"":""suplementacion-deportiva"",""uid"":""ts-V57cfb26557185""},{""locale"":""es"",""name"":""Hidratación"",""principal"":false,""slug"":""hidratacion-deportiva"",""uid"":""ts-C57cfb26557308""},{""locale"":""en"",""name"":""Sport Nutrition"",""principal"":true,""slug"":""sport-nutrition"",""uid"":""ts-t57cfb26556fbf""},{""locale"":""en"",""name"":""Sport Supplementation"",""principal"":false,""slug"":""sport-supplementation"",""uid"":""ts-V57cfb26557185""},{""locale"":""en"",""name"":""Sports Hydration"",""principal"":false,""slug"":""sport-hydration"",""uid"":""ts-C57cfb26557308""},{""locale"":""en"",""name"":""Anthropometry"",""principal"":false,""slug"":""anthropometry"",""uid"":""ts-o57cfb2655747c""}]"
"Taller de Actividad Física Adaptada al Embarazo, Parto y Post Parto",Taller,"[{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":true,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":true,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""}]"
Taller Teórico Práctico de Entrenamiento de la Estabilidad y la Propiocepción,Taller,"[{""locale"":""es"",""name"":""Velocidad y Agilidad"",""principal"":true,""slug"":""entrenamiento-de-la-velocidad-y-agilidad"",""uid"":""ts-q57cfb26551c42""},{""locale"":""es"",""name"":""Prev. y Rehabilitación de Lesiones"",""principal"":false,""slug"":""prevencion-y-rehabilitacion-de-lesiones"",""uid"":""ts-j57cfb26557fdb""},{""locale"":""en"",""name"":""Speed \u0026 Agility Training"",""principal"":true,""slug"":""speed-agility-training"",""uid"":""ts-q57cfb26551c42""},{""locale"":""en"",""name"":""Injury Prevention and Rehabilitation"",""principal"":false,""slug"":""injury-prevention-and-rehabilitation"",""uid"":""ts-j57cfb26557fdb""}]"
Webinar de Obesidad y Ejercicio,Webinar,"[{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":true,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":true,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""}]"
"Webinar de Bebidas Deportivas, Energéticas y con Otros Componentes (Proteínas y Aminoácidos): Revisión Histórica, Fundamentos y Aplicaciones para el Deportista y el Entrenador de Campo",Webinar,"[{""locale"":""es"",""name"":""Resistencia"",""principal"":true,""slug"":""entrenamiento-de-la-resistencia"",""uid"":""ts-Q57cfb2655182e""},{""locale"":""es"",""name"":""Suplementación"",""principal"":false,""slug"":""suplementacion-deportiva"",""uid"":""ts-V57cfb26557185""},{""locale"":""es"",""name"":""Hidratación"",""principal"":false,""slug"":""hidratacion-deportiva"",""uid"":""ts-C57cfb26557308""},{""locale"":""en"",""name"":""Endurance Training"",""principal"":true,""slug"":""endurance-training"",""uid"":""ts-Q57cfb2655182e""},{""locale"":""en"",""name"":""Sport Supplementation"",""principal"":false,""slug"":""sport-supplementation"",""uid"":""ts-V57cfb26557185""},{""locale"":""en"",""name"":""Sports Hydration"",""principal"":false,""slug"":""sport-hydration"",""uid"":""ts-C57cfb26557308""}]"
Taller de Antropometría,Taller,"[{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":false,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Anthropometry"",""principal"":true,""slug"":""anthropometry"",""uid"":""ts-o57cfb2655747c""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":false,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""}]"
Webinar de Entrenamiento de la Saltabilidad,Webinar,"[{""locale"":""es"",""name"":""Fuerza y Potencia"",""principal"":false,""slug"":""entrenamiento-de-la-fuerza-y-potencia"",""uid"":""ts-R57cfb26551630""},{""locale"":""es"",""name"":""Fisiología"",""principal"":true,""slug"":""fisiologia-del-ejercicio"",""uid"":""ts-M57cfb26556d10""},{""locale"":""en"",""name"":""Strength \u0026 Power Training"",""principal"":false,""slug"":""power-strength-training"",""uid"":""ts-R57cfb26551630""},{""locale"":""en"",""name"":""Exercise Physiology"",""principal"":true,""slug"":""exercise-physiology"",""uid"":""ts-M57cfb26556d10""}]"
Curso de Preparación Física Integral en Ciclismo de Ruta y Mountain Bike,Curso,"[{""locale"":""es"",""name"":""Resistencia"",""principal"":false,""slug"":""entrenamiento-de-la-resistencia"",""uid"":""ts-Q57cfb2655182e""},{""locale"":""es"",""name"":""Ciclismo"",""principal"":true,""slug"":""entrenamiento-en-ciclismo"",""uid"":""ts-H57cfb26553c1b""},{""locale"":""es"",""name"":""Deportes de Aventura"",""principal"":false,""slug"":""entrenamiento-en-deportes-de-aventura"",""uid"":""ts-m57cfb26555947""},{""locale"":""en"",""name"":""Endurance Training"",""principal"":false,""slug"":""endurance-training"",""uid"":""ts-Q57cfb2655182e""},{""locale"":""en"",""name"":""Cycling Training"",""principal"":true,""slug"":""cycling-training"",""uid"":""ts-H57cfb26553c1b""},{""locale"":""en"",""name"":""Mountain Bike Training"",""principal"":false,""slug"":""mountain-bike-training"",""uid"":""ts-a57cfb26554380""},{""locale"":""en"",""name"":""Adventure Sports Training"",""principal"":false,""slug"":""adventure-sports-training"",""uid"":""ts-m57cfb26555947""}]"
Curso de Posgrado de Rehabilitación Cardiovascular (Con Opción Pasantía Presencial),Curso,"[{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":false,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""es"",""name"":""Prev. y Rehabilitación Cardiovascular"",""principal"":true,""slug"":""prevencion-y-rehabilitacion-cardiovascular"",""uid"":""ts-157cfb265581a2""},{""locale"":""es"",""name"":""Patologías"",""principal"":false,""slug"":""ejercicio-fisico-en-patologias"",""uid"":""ts-o57cfb26558809""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":false,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Cardiovascular Prevention and Rehabilitation"",""principal"":true,""slug"":""cardiovascular-prevention-and-rehabilitation"",""uid"":""ts-157cfb265581a2""},{""locale"":""en"",""name"":""Exercise \u0026 Diseases"",""principal"":false,""slug"":""exercise-diseases"",""uid"":""ts-o57cfb26558809""}]"
"Webinar de Valoración de la Lactatemia y Máximo Nivel de Lactato en Estado Estable (MLSS), Acidosis Metabólica y Aplicaciones Prácticas para el Entrenamiento",Webinar,"[{""locale"":""es"",""name"":""Resistencia"",""principal"":true,""slug"":""entrenamiento-de-la-resistencia"",""uid"":""ts-Q57cfb2655182e""},{""locale"":""es"",""name"":""Ciclismo"",""principal"":false,""slug"":""entrenamiento-en-ciclismo"",""uid"":""ts-H57cfb26553c1b""},{""locale"":""es"",""name"":""Natación"",""principal"":false,""slug"":""entrenamiento-en-natacion"",""uid"":""ts-857cfb2655452c""},{""locale"":""es"",""name"":""Fisiología"",""principal"":false,""slug"":""fisiologia-del-ejercicio"",""uid"":""ts-M57cfb26556d10""},{""locale"":""es"",""name"":""Evaluación"",""principal"":false,""slug"":""evaluacion-deportiva"",""uid"":""ts-D57cfb26557847""},{""locale"":""es"",""name"":""Entrenamiento en Triatlón"",""principal"":false,""slug"":""entrenamiento-en-triatlon"",""uid"":""ts-G57cfb2655953f""},{""locale"":""en"",""name"":""Endurance Training"",""principal"":true,""slug"":""endurance-training"",""uid"":""ts-Q57cfb2655182e""},{""locale"":""en"",""name"":""Cycling Training"",""principal"":false,""slug"":""cycling-training"",""uid"":""ts-H57cfb26553c1b""},{""locale"":""en"",""name"":""Swimming Training"",""principal"":false,""slug"":""swimming-training"",""uid"":""ts-857cfb2655452c""},{""locale"":""en"",""name"":""Exercise Physiology"",""principal"":false,""slug"":""exercise-physiology"",""uid"":""ts-M57cfb26556d10""},{""locale"":""en"",""name"":""Sports Performance Testing"",""principal"":false,""slug"":""sports-performance-testing"",""uid"":""ts-D57cfb26557847""},{""locale"":""en"",""name"":""Triathlon Training"",""principal"":false,""slug"":""triathlon-training"",""uid"":""ts-G57cfb2655953f""}]"
Taller de Uso y Aplicación de los Suplementos Nutricionales Para la Salud y el Rendimiento,Taller,"[{""locale"":""es"",""name"":""Suplementación"",""principal"":true,""slug"":""suplementacion-deportiva"",""uid"":""ts-V57cfb26557185""},{""locale"":""en"",""name"":""Sport Supplementation"",""principal"":true,""slug"":""sport-supplementation"",""uid"":""ts-V57cfb26557185""}]"
